"","year","c_regin","regin","x1","x2","x3","x28","x4","x5","x6","x5.","x6.","x7","x8","x9","x10","x11","x13","x14","x15","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","id","critic_set1","critic_set2","entropy_set1","entropy_set2","combine_set1","combine_set2"
"1",2013,"北京","d11",377.3152075,185.7328,513.6,100,3601,1.801681794,3,0.158882332,4,94.19999695,2855,713.9998779,2853,921,44.01000214,0.98,24,3618500,41,292,17,6408.502441,9295.796875,1616.924072,8.75193882,244619.9688,0.590000033,154.71,"d11",0.156740835559488,0.138809132727808,0.16721724306261,0.145419877557915,0.161846552594562,0.142034074076993
"2",2014,"北京","d11",551.6153335,265.4888,469.15,100,4094,1.77272357,3,0.34942519,6,99.11878967,2787.000244,534.000061,3203,945,27.92000198,1.03,24,3712745.25,41,344,17,7433.283691,11519.77734,1765.761719,8.563950539,249385.9219,0.550000012,163.9,"d11",0.165123997204231,0.153189974074378,0.180513269692824,0.167371728143906,0.172624017672029,0.160108305711457
"3",2015,"北京","d11",850.1840207,485.7,506.68,100,4229,1.641220377,6,0.536438147,6,104.2944183,2651.000244,647,4722,1399,29.32999992,1.12,24,3678397,40,395,54,8621.9375,14275.83398,1928.299927,8.379999161,275831.9063,0.480000019,188.5,"d11",0.200034628489692,0.180643747448533,0.227856974275415,0.202602553869267,0.213593954507848,0.191355984061032
"4",2016,"北京","d11",840.0646467,645.7379,529.15,100,4394,1.608637395,6,0.617167335,8,109.740303,2546.000488,726.9998779,5416,1840,46.81999588,1.19,24,3684369,41,485,69,10000.66895,17691.26563,2105.799561,8.199999809,352798.0625,0.550000012,198.35,"d11",0.215231946041696,0.201238134722051,0.245353765422012,0.228232334031237,0.22991192926034,0.214406803575196
"5",2017,"北京","d11",953.160614,537.4574,546.85,100,4544,1.612657595,8,1.491941094,9,115.4705505,2814.000244,746.9998779,6321,2288,30.00000191,1.27,23,4356057,71.00001526,451,66,11599.87207,21923.82617,2700.399414,9.640000343,361972,0.529999971,208.96,"d11",0.234710501169068,0.220525097591249,0.271211576055016,0.252214799984194,0.25249943881665,0.235984389125982
"6",2018,"北京","d11",1069.527512,443.4713,571.5,100,4496,1.661766425,9,2.107128108,9,121.5000153,2579.999756,714.9998169,8026,3176,44.65000153,1.27,23,4422917,82,414,61,13454.80469,27169.00781,3075.099854,9.289999962,348419.9375,0.469999999,245.43,"d11",0.244827761364577,0.229595211665416,0.289203567083003,0.267457053612019,0.266454479028451,0.248065478297672
"7",2019,"北京","d11",1124.91651,504.9877,593.5,100,4461,1.60920173,10,1.495396403,10,121.0261383,1716.999756,1282.999756,8671,3920,48.32999802,1.34,23,4426246.5,81.00000763,370,52,15450.73926,671544.875,3318.000488,9.359998703,474695.0625,0.639999986,279.32,"d11",0.269060197322131,0.25096546763882,0.316221560653955,0.291236304367657,0.292044467081479,0.270610922102833
"8",2020,"北京","d11",1161.779166,373.2,605.08,100,4540,1.616748624,11,1.156718307,11,120.5541077,1804.999878,2302.222168,10472,4247,82.36000061,1.4,23,4653638.5,80,393,55,17742.75781,16598786,3769.998535,10.48999977,463028.8438,0.649999976,225.11,"d11",0.298494089540913,0.277833261950194,0.345646449928111,0.317865669663547,0.321473971680962,0.297362402804979
"9",2021,"北京","d11",1232.169918,566.007,614.39,100,4724,1.485040584,10,0.425705352,11,120.0839233,1897.510254,4131.120605,13263,5612,23.80000114,1.43,20,4892712.5,79.01234436,495,64,20374.7832,410277408,4283.570313,11.75642109,451649.3438,0.66015625,220.06,"d11",0.465016953295836,0.441602224808519,0.525022240635017,0.496488635825483,0.494260758261506,0.468377642850796
"10",2013,"天津","d12",72.5108435,11.5133,255.71,100,3148,0,0,0.235321803,1,36,111.9999847,25.00000191,1412,86,93.14001465,1,31,1057628.875,20,58,26,2287.600098,3749.299561,749.7883911,5.282534599,95616.03125,0.379999995,44.53,"d12",0.0424824436180335,0.0450520144284382,0.0393388493756106,0.0434540588189278,0.0409504010099051,0.0442724784984169
"11",2014,"天津","d12",79.3676075,15.3507,283.86,100,3605,0,0,0.165809982,1,32.03916931,115.0000076,23,1149,140,25.5,1.05,31,1034700.688,22.00000191,66,28,2273.671631,3861.553711,766.8988647,5.003920078,122665.9766,0.430000007,47.87,"d12",0.0436357840468411,0.0458886176792309,0.0396043976951618,0.0434098301300817,0.041671072578277,0.0446793826129055
"12",2015,"天津","d12",25.6538697,34.9,318.57,100,3714,0,0,0.171732784,1,28.51411629,131.0000153,23,1975,169,13.62999916,1.1,31,1025327.625,22.00000191,86,50,2259.827881,3977.168945,784.3998413,4.740000248,153743.9375,0.480000019,51.73,"d12",0.0452342392939848,0.0474559903300346,0.0400931447140665,0.0439147035716582,0.0427287073005229,0.045728432786988
"13",2016,"天津","d12",36.70904149,35.3755,335.05,100,3639,0,0,0.189861401,1,25.37690353,132.0000153,23,1963,149,15.74000168,1.16,31,986885.25,22.00000191,84,51,2246.068359,4096.245605,802.3001709,4.490000248,158048.0625,0.430000007,57.16,"d12",0.0442375150259383,0.0465576673255576,0.0397034315909294,0.043612214779716,0.0420278122222173,0.0451207775421424
