"","c_seq1","c_seq2","entropy_all1","entropy_all2","weight_seq1","weight_seq2"
"x1",0.0512401553962251,0.0501660357471571,0.0666553680725778,0.0653169330601224,0.0587528179131699,0.0575571477137399
"x2",0.0308564528162157,0.0303219354174109,0.0373083015436923,0.0365591535232816,0.034000785827869,0.0333646579986693
"x3",0.0149687271077648,0.0146833126270171,0.0149116709077237,0.0146122456248961,0.0149409205517083,0.0146486437781064
"x28",0.0057240289394956,0.00556506633181675,0.00155423864491153,0.00152302964434318,0.00369186578305097,0.00359322630722711
"x4",0.012052733803453,0.011788835349595,0.00963870540059639,0.00944516088713944,0.0108762478815428,0.0106455129438384
"x5",0.025471748346497,0.0503937935333759,0.0325355093613727,0.0550497238722745,0.0289142991383209,0.052665111312948
"x6",0.0326201737189072,0.0305427038855428,0.0505973312754652,0.046493743595488,0.0413814098154772,0.0383241519439838
"x7",0.0214198592151388,0.0210793397992972,0.0294549815252242,0.0288635276077894,0.0253358066279597,0.0248767256882663
"x8",0.0374671210889921,0.0362402149372599,0.030913387750163,0.0302926491402828,0.0342731342245616,0.0333387943925864
"x9",0.0671767569590096,0.0651043265225092,0.0494498356772412,0.0484568865218405,0.0585374744625268,0.0569831512244219
"x10",0.0467020214216691,0.0456898810636875,0.0589103336785704,0.0577274184015147,0.0526517888243776,0.0515621924144921
"x11",0.0426504625274088,0.0418755623362073,0.0639720606676153,0.0626875062754886,0.053041624460258,0.0520283212599866
"x13",0.0566609504997778,0.0554290283163802,0.0766894280812585,0.0751495098631584,0.066421905211008,0.0650493355586738
"x14",0.204404555867978,0.198758994662447,0.101810513127782,0.0997661653228473,0.154404959006206,0.150466997797569
"x15",0.0179427055860878,0.0173521043175556,0.0125494953230049,0.0122975023565769,0.0153143040557203,0.0148863012520083
"x17",0.0228267692124227,0.0223136082590288,0.0230946246100734,0.0226308862035286,0.0229573095590362,0.0224683870001083
"x18",0.0177705582594414,0.0172225062644178,0.0148386612577885,0.0145407020034976,0.0163416871066191,0.0159142328892193
"x19",0.0360332749757706,0.0349581998372888,0.0323788877795625,0.0317287220341518,0.0342522954792327,0.0333827530803397
"x20",0.0239707036702971,0.0232499328254967,0.021677024368575,0.0212417512732534,0.0228528703404739,0.0222702750273309
"x21",0.0232012655367129,0.0229265047272039,0.0407825310299646,0.0399636207305328,0.0317695621307797,0.0312377769487182
"x22",0.131800122171817,0.128799876353397,0.149603878764689,0.146599843604013,0.140476850649346,0.137483292802813
"x23",0.0183992097379307,0.0181224273500324,0.029322493090749,0.0287336995315805,0.0237227134176803,0.023298959088162
"x24",0.0143905858137204,0.0142041901235479,0.0111068526667571,0.0108838278614453,0.0127902459775608,0.012584406902668
"x25",0.0146253547897618,0.0143075811809247,0.0160489642567957,0.0157267022050499,0.0153191562770523,0.0149998756481616
"x26",0.0164819629280511,0.0160190701424692,0.00965544983310282,0.00946156909264153,0.0131550358121817,0.0128201028813826
"x27",0.013141739609454,0.0128849680889336,0.0145394713047438,0.0142475197632615,0.0138229294662801,0.0135496661445791
